"p.adjust(sim_results_2023$p_value, method = ""BY"")",game_id,observed_stat,p_valuesim,mean.x,sd.x,miss_streakssim,make_streakssim,p_valueunadj,diff,miss_streaksunadj,make_streaksunadj,observed,p_adj,mean.y,sd.y,miss_streaks,make_streaks,p_valueperm
1,401507332,0.01515151515151513,0.3232250793976027,-0.13381761551193655,0.2834201601990714,22,3,0.4843454473801353,0.015151515151515138,22,3,0.01515151515151513,1,-0.12981846064652686,0.27719991138988753,22,3,0.33620136124309746
1,401507338,0.07142857142857145,0.264206268958544,-0.11903364144316368,0.27685333957846864,14,6,0.39579334191362353,0.07142857142857145,14,6,0.07142857142857145,1,-0.11640801805468756,0.2765093721364388,14,6,0.2616325711993582
1,401507343,-0.4,0.7926741434303941,-0.13407930135870366,0.2947120080426682,5,5,0.8785621939248586,-0.39999999999999997,5,5,-0.4,1,-0.13194444168792702,0.29614322750048927,5,5,0.8110709987966306
1,401507348,-0.375,0.8417778669609712,-0.0969428093100486,0.26687743787059565,8,3,NA,NA,NA,NA,-0.375,1,-0.1055558709641318,0.26316048315065477,8,3,0.8477390956382553
1,401507363,-0.16666666666666674,0.6418796538538941,-0.09055880329607656,0.2728530532348538,6,15,0.7790873016720277,-0.16666666666666674,6,15,-0.16666666666666674,1,-0.11832787147489587,0.2692372750051079,6,15,0.6109775641025641
1,401507368,-0.13095238095238093,0.5663833232139243,-0.1084654553080572,0.27764382278488614,7,12,0.705216350927006,-0.13095238095238093,7,12,-0.13095238095238093,1,-0.1164755777848872,0.27433124793844205,7,12,0.5614175593152467
NA,401507376,NA,NA,-0.11662172807751411,0.2753058002771188,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,401578550,-0.2545454545454545,0.7258648431214803,-0.1006134880507175,0.27039512830544077,11,5,0.8284175594971139,-0.2545454545454545,11,5,-0.2545454545454545,1,-0.10961544753771948,0.2695596036871478,11,5,0.7228359108254669
1,401578554,0.2142857142857143,0.11536144578313252,-0.0940595863132034,0.2581416460126159,21,10,0.14397303774686396,0.2142857142857143,21,10,0.2142857142857143,1,-0.10915660127390032,0.26940780414412974,21,10,0.11316768936726689
1,401578562,-0.380952380952381,0.813030303030303,-0.12612932572127633,0.27813657350761994,7,9,0.9254970776949554,-0.380952380952381,7,9,-0.380952380952381,1,-0.11959780254779476,0.2746288151089718,7,9,0.83026236731424
1,401578564,-0.14285714285714285,0.5366224293384663,-0.13756509901696873,0.28911135185515974,7,7,0.686941261887338,-0.14285714285714285,7,7,-0.14285714285714285,1,-0.12482234549199682,0.28581172453593384,7,7,0.553750501403931
1,401578566,0.08333333333333331,0.2715130505709625,-0.12347202625790138,0.2997006456035181,12,4,0.40413872575174303,0.08333333333333331,12,4,0.08333333333333331,1,-0.14349856282490583,0.2998837438214608,12,4,0.25901875901875904
1,401578571,-0.6,0.950116597384163,-0.11207527853342548,0.2884557914565207,5,5,NA,NA,NA,NA,-0.6,1,-0.13082629391626036,0.2887639462123247,5,5,0.9366847280754566
1,401578572,-0.13636363636363635,0.5903846153846154,-0.09886425113618438,0.27380673936931754,10,11,0.7235346039488113,-0.13636363636363635,10,11,-0.13636363636363635,1,-0.1189197119842443,0.27140603892255144,10,11,0.5650260104041617
1,401578573,-0.3684210526315789,0.8075528700906345,-0.11539168261937732,0.27842742108850554,19,1,NA,NA,NA,NA,-0.3684210526315789,1,-0.13364951418441587,0.2786518590066534,19,1,0.7679890871888144
1,401578574,0.282051282051282,0.07686868686868686,-0.09790788474177248,0.2816550900317199,13,6,0.1462659086122035,0.282051282051282,13,6,0.282051282051282,1,-0.12869671052416676,0.28675037522993696,13,6,0.06756482982171799
