season,team_id,game_id,miss_streaks,make_streaks,fga,fgm
2022,18,401391750,8,4,74,31
2022,18,401391759,7,2,65,27
2022,18,401391765,16,3,80,32
2022,18,401391773,6,3,63,28
2022,18,401391779,9,5,65,28
2022,18,401391791,7,8,67,31
2022,18,401391797,9,5,67,30
2022,18,401391799,5,4,65,31
2022,18,401391803,5,4,61,30
2022,18,401391810,5,14,67,37
2022,18,401391817,9,8,67,31
2022,18,401391819,7,7,66,32
2022,18,401391826,12,7,79,36
2022,18,401391831,9,13,74,34
2022,18,401391838,19,1,71,26
2022,18,401391844,10,4,78,36
2022,18,401391851,5,12,75,38
2022,18,401391855,10,11,68,34
2022,18,401391860,6,8,68,36
2022,18,401455629,11,10,71,37
2022,18,401455653,11,6,62,28
2022,18,401455659,23,6,76,27
2022,18,401455661,13,2,75,28
2022,18,401455671,11,3,70,32
2022,18,401455675,20,4,68,25
2022,18,401455677,4,8,72,41
2022,18,401455679,9,6,59,27
2022,18,401455681,13,3,74,28
2022,18,401455682,13,8,64,27
2022,18,401455683,6,14,77,43
2022,18,401455684,16,6,63,26
2022,19,401391651,5,10,65,35
2022,19,401391662,10,7,68,31
2022,19,401391669,14,4,69,28
2022,19,401391677,10,4,65,30
2022,19,401391686,2,6,63,34
2022,19,401391690,14,9,65,31
2022,19,401391696,23,2,81,28
2022,19,401391702,6,2,66,27
2022,19,401391709,13,4,61,26
2022,19,401391714,4,7,65,36
2022,19,401391721,13,8,72,33
2022,19,401391722,8,7,61,31
2022,19,401391728,10,4,76,35
2022,19,401391740,10,4,68,31
2022,19,401391742,11,11,70,33
2022,19,401391747,8,17,75,43
2022,19,401391754,8,6,70,32
2022,19,401391760,6,7,65,33
2022,19,401391765,6,13,54,32
2022,19,401391772,10,12,57,30
2022,19,401391780,15,4,78,31
2022,19,401391783,4,10,62,34
2022,19,401391788,7,8,66,35
2022,19,401391795,6,6,68,33
2022,19,401391798,14,9,74,35
2022,19,401391806,3,4,66,32
2022,19,401391811,5,9,69,35
2022,19,401391813,13,1,73,27
2022,19,401391823,13,5,67,30
2022,19,401391826,5,7,62,34
2022,19,401391834,8,9,61,29
2022,19,401391841,7,11,73,36
